Partlist

Exported from A10-OLinuXino-Lime_Rev_C.sch at 19/10/2015 18:31

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part         Value                              Device                            Package                   Library           Sheet
L11          2.2uH/1.5A/DCR<0.1R/CD32           L-CD32                            CD32                      OLIMEX_DISCRET    1
L12          2.2uH/1.5A/DCR<0.1R/CD32           L-CD32                            CD32                      OLIMEX_DISCRET    1
L13          2.2uH/1.5A/DCR<0.1R/CD32           L-CD32                            CD32                      OLIMEX_DISCRET    1
L14          2.2uH/1.5A/DCR<0.1R/CD32           L-CD32                            CD32                      OLIMEX_DISCRET    1
L15          2.2uH/1.5A/DCR<0.1R/CD32           L-CD32                            CD32                      OLIMEX_DISCRET    1
LAN          RJLBC-060TC1_GND_MILLING           RJLBC-060TC1_GND_MILLING          RJLBC-060TC1_MILLING      OLIMEX_CONNECTORS 1
LCD_CON      GPH127SMT-02X20(PA-V16X-2X20-LF)   ML40YA-V36P-2X20-LF               YA-V36P-2X20-LF           OLIMEX_CASES      1
LED1         LED/GREEN/0603                     LED0603DWS                        LED-0603                  DOUBLE-SIDE       1
LIPO_BAT     CON2DW02R                          CON2DW02R                         DW02R                     Penko             1
NAND_E       Close                              SJSJ_1_SMALLER_CLOSE_10MILS       SJ_1_SMALLER_CLOSE_10MILS jumper            1
PB9/PH7_GPIO                                    SJ2W5                             SJ_2_SMALL_23_TIED        jumper            1
PB9/PH7_USB                                     SJ2W5                             SJ_2_SMALL_23_TIED        jumper            1
PC3/PB8                                         SJ2W5                             SJ_2_SMALL_23_TIED        jumper            1
PWR          SIDE_WTCM-TR(3X4)                  SW-TAKTSIDE_WTCM-TR(3X4)          SW_TAKT3X4                gogo              1
PWR_JACK     YDJ-1136                           PWR-JAKPWR_JACK_UNI_MILLING       PWR_JACK_UNI_MILLING      gogo              1
PWR_LED      LED/RED/0603                       LED0603DWS                        LED-0603                  DOUBLE-SIDE       1
Q1           4SB25.000F20E15/5x3.2mm/20ppm/20pF HC49/S_E4SB25.000F20E15           HCX-4S                    crystal           1
Q2           32768Hz/6pF                        MC-306_32.768KHZ/SMD_8038         MC-306                    crystal           1
Q3           4SB24.000F20E15/5x3.2mm/20ppm/20pF HC49/S_E4SB25.000F20E15           HCX-4S                    crystal           1
R1           2.2k                               R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R2           2k/1%                              R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R3           2k/1%                              R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R4           NA                                 R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R5           2k/1%                              R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R6           2k/1%                              R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R7           2k/1%                              R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R8           330R/1%                            R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R9           22R                                R-EU_R0402_TI                     R0402_TI                  rcl               1
R10          100k/1%                            R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R11          22R                                R-EU_R0402_TI                     R0402_TI                  rcl               1
R12          0R_board_mounted                   R-EU_R0402_TI_0R                  R0402_TI_0R               rcl               1
R13          0R_board_mounted                   R-EU_R0402_TI_0R                  R0402_TI_0R               rcl               1
R14          330R/1%                            R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R15          NA(2.2k)                           R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R16          NA(2.2k)                           R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R17          NA(10k)                            R-EU_R0402_TI                     R0402_TI                  rcl               1
R18          NA(10k)                            R-EU_R0402_TI                     R0402_TI                  rcl               1
R19          2k/1%                              R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R20          NA(10k)                            R-EU_R0402_TI                     R0402_TI                  rcl               1
